iter	Passed	Remaining
0	147	147764
1	149	74671
2	151	50510
3	154	38568
4	155	30991
5	156	26000
6	159	22693
7	163	20238
8	166	18289
9	169	16740
10	174	15663
11	177	14619
12	180	13718
13	182	12846
14	184	12083
15	187	11509
16	189	10983
17	192	10494
18	194	10054
19	196	9651
20	199	9286
21	201	8948
22	203	8646
23	205	8338
24	206	8071
25	208	7809
26	209	7564
27	211	7327
28	212	7129
29	214	6928
30	215	6742
31	217	6564
32	218	6398
33	219	6239
34	220	6083
35	221	5936
36	222	5796
37	223	5660
38	224	5533
39	225	5413
40	226	5294
41	227	5182
42	228	5074
43	228	4973
44	229	4876
45	230	4785
46	231	4695
47	232	4609
48	233	4526
49	233	4445
50	234	4369
51	235	4296
52	236	4223
53	237	4153
54	237	4085
55	238	4025
56	239	3965
57	240	3906
58	241	3850
59	242	3793
60	242	3737
61	243	3683
62	244	3631
63	244	3581
64	245	3532
65	246	3486
66	247	3442
67	247	3398
68	248	3353
69	249	3310
70	249	3268
71	250	3227
72	250	3187
73	251	3148
74	252	3112
75	253	3077
76	253	3041
77	254	3006
78	254	2972
79	255	2938
80	256	2905
81	256	2873
82	256	2838
83	257	2807
84	258	2777
85	258	2748
86	259	2719
87	259	2691
88	260	2664
89	260	2637
90	261	2611
91	261	2585
92	262	2560
93	263	2535
94	263	2511
95	264	2488
96	265	2469
97	265	2447
98	266	2424
99	266	2402
100	267	2380
101	267	2358
102	268	2337
103	268	2316
104	269	2295
105	269	2275
106	270	2256
107	270	2238
108	271	2220
109	272	2202
110	272	2185
111	273	2167
112	273	2149
113	274	2132
114	274	2115
115	275	2098
116	275	2081
117	276	2065
118	276	2050
119	277	2034
120	278	2019
121	278	2004
122	279	1989
123	279	1974
124	280	1960
125	280	1946
126	280	1931
127	281	1917
128	281	1903
129	282	1889
130	283	1879
131	283	1867
132	284	1854
133	285	1841
134	285	1829
135	285	1816
136	286	1804
137	286	1792
138	287	1780
139	287	1768
140	288	1756
141	288	1744
142	289	1733
143	289	1722
144	290	1712
145	290	1702
146	291	1691
147	291	1680
148	292	1670
149	292	1660
150	293	1650
151	294	1640
152	294	1630
153	295	1621
154	295	1612
155	296	1603
156	296	1594
157	297	1585
158	298	1576
159	298	1567
160	298	1557
161	299	1548
162	299	1540
163	300	1531
164	301	1523
165	301	1515
166	302	1506
167	302	1499
168	303	1490
169	303	1482
170	304	1475
171	304	1467
172	305	1459
173	305	1451
174	306	1444
175	306	1436
176	307	1430
177	308	1422
178	308	1415
179	309	1408
180	309	1401
181	310	1394
182	310	1386
183	311	1379
184	311	1372
185	312	1365
186	312	1358
187	313	1352
188	313	1345
189	313	1338
190	314	1332
191	315	1326
192	315	1320
193	316	1313
194	316	1307
195	317	1301
196	317	1295
197	318	1289
198	318	1283
199	319	1277
200	319	1271
201	320	1265
202	320	1259
203	321	1254
204	322	1248
205	322	1243
206	323	1237
207	323	1232
208	324	1226
209	324	1221
210	325	1215
211	325	1210
212	326	1204
213	326	1199
214	327	1194
215	327	1189
216	328	1184
217	328	1179
218	329	1173
219	329	1168
220	330	1163
221	330	1158
222	331	1153
223	331	1148
224	332	1144
225	332	1139
226	333	1134
227	333	1130
228	334	1125
229	334	1120
230	335	1116
231	335	1111
232	336	1107
233	336	1102
234	337	1098
235	337	1094
236	338	1089
237	339	1085
238	339	1081
239	340	1077
240	340	1073
241	341	1068
242	341	1064
243	342	1060
244	342	1056
245	343	1052
246	343	1048
247	344	1044
248	344	1040
249	345	1035
250	345	1031
251	346	1027
252	346	1024
253	347	1020
254	347	1016
255	348	1012
256	348	1008
257	349	1004
258	349	1000
259	350	997
260	350	993
261	351	989
262	351	985
263	352	982
264	352	978
265	353	975
266	353	971
267	354	967
268	354	964
269	355	960
270	355	957
271	356	953
272	356	950
273	357	947
274	357	943
275	358	940
276	359	937
277	359	933
278	360	930
279	360	927
280	361	923
281	361	920
282	362	917
283	362	914
284	363	911
285	363	907
286	364	904
287	364	901
288	365	898
289	365	895
290	366	892
291	366	889
292	367	886
293	367	883
294	368	880
295	368	877
296	369	874
297	369	871
298	370	868
299	370	865
300	371	862
301	371	859
302	372	857
303	373	854
304	373	851
305	374	848
306	374	845
307	374	842
308	375	839
309	375	836
310	376	833
311	376	831
312	377	828
313	377	825
314	378	822
315	379	820
316	379	817
317	380	815
318	380	812
319	381	810
320	381	807
321	382	804
322	382	802
323	383	799
324	383	797
325	384	794
326	384	792
327	385	789
328	385	787
329	386	784
330	386	782
331	387	779
332	387	777
333	388	774
334	388	771
335	389	769
336	389	767
337	390	764
338	390	762
339	391	759
340	391	757
341	392	755
342	392	752
343	393	750
344	394	748
345	394	745
346	395	743
347	395	741
348	396	739
349	396	736
350	397	734
351	397	732
352	398	730
353	398	728
354	399	725
355	400	723
356	400	721
357	401	719
358	401	717
359	402	714
360	402	712
361	403	710
362	403	708
363	404	706
364	404	704
365	405	702
366	405	700
367	406	698
368	406	695
369	407	693
370	408	691
371	408	689
372	409	687
373	409	685
374	410	683
375	410	681
376	411	679
377	412	677
378	412	676
379	413	674
380	413	672
381	414	670
382	414	668
383	415	666
384	415	664
385	416	662
386	416	660
387	417	658
388	418	656
389	418	654
390	418	652
391	419	650
392	420	648
393	420	646
394	420	644
395	421	642
396	421	640
397	422	638
398	422	637
399	423	635
400	423	633
401	424	631
402	424	629
403	425	627
404	425	625
405	426	623
406	426	621
407	427	620
408	427	618
409	428	616
410	428	614
411	429	612
412	429	611
413	430	609
414	430	607
415	431	605
416	431	603
417	432	601
418	432	600
419	433	598
420	433	596
421	434	594
422	434	592
423	435	591
424	435	589
425	436	587
426	436	585
427	437	584
428	437	582
429	438	580
430	438	579
431	439	577
432	439	575
433	440	574
434	440	572
435	441	570
436	441	569
437	442	567
438	442	565
439	443	564
440	443	562
441	444	560
442	444	559
443	445	557
444	445	555
445	446	554
446	446	552
447	447	551
448	447	549
449	448	547
450	448	546
451	449	544
452	449	543
453	450	541
454	450	539
455	451	538
456	451	536
457	452	535
458	452	533
459	453	532
460	453	530
461	454	529
462	455	527
463	455	526
464	456	524
465	456	523
466	457	521
467	457	520
468	458	518
469	458	517
470	459	515
471	459	514
472	460	512
473	460	511
474	461	509
475	461	508
476	461	506
477	462	505
478	462	503
479	463	501
480	463	500
481	464	498
482	464	497
483	465	495
484	465	494
485	466	492
486	466	491
487	467	490
488	467	488
489	468	487
490	468	485
491	468	484
492	469	482
493	469	481
494	470	479
495	470	478
496	471	476
497	471	475
498	471	473
499	472	472
500	472	471
501	473	469
502	473	468
503	474	466
504	474	465
505	475	463
506	475	462
507	476	461
508	476	459
509	476	458
510	477	456
511	477	455
512	478	454
513	478	452
514	479	451
515	479	450
516	480	448
517	480	447
518	481	445
519	481	444
520	482	443
521	482	441
522	482	440
523	483	439
524	483	437
525	484	436
526	484	435
527	485	433
528	485	432
529	486	431
530	486	430
531	487	428
532	487	427
533	488	426
534	488	424
535	489	423
536	489	422
537	490	421
538	490	419
539	491	418
540	491	417
541	492	416
542	493	415
543	493	413
544	494	412
545	494	411
546	495	410
547	495	408
548	496	407
549	496	406
550	497	405
551	497	403
552	498	402
553	498	401
554	499	400
555	499	399
556	500	398
557	500	396
558	501	395
559	502	394
560	502	393
561	503	392
562	503	390
563	503	389
564	504	388
565	505	387
566	505	386
567	506	384
568	506	383
569	507	382
570	507	381
571	508	380
572	508	379
573	509	377
574	509	376
575	510	375
576	510	374
577	511	373
578	511	372
579	512	371
580	512	369
581	513	368
582	513	367
583	514	366
584	514	365
585	515	364
586	515	362
587	516	361
588	516	360
589	517	359
590	517	358
591	518	357
592	518	355
593	519	354
594	519	353
595	520	352
596	520	351
597	521	350
598	521	349
599	522	348
600	522	347
601	523	345
602	523	344
603	524	343
604	524	342
605	525	341
606	525	340
607	526	339
608	526	338
609	527	337
610	528	336
611	528	335
612	529	334
613	529	332
614	530	331
615	530	330
616	531	329
617	531	328
618	532	327
619	532	326
620	533	325
621	533	324
622	534	323
623	534	322
624	535	321
625	535	320
626	536	319
627	536	318
628	537	316
629	537	315
630	538	314
631	538	313
632	539	312
633	539	311
634	540	310
635	540	309
636	541	308
637	541	307
638	542	306
639	542	305
640	543	304
641	544	303
642	544	302
643	545	301
644	545	300
645	546	299
646	546	298
647	547	297
648	547	296
649	548	295
650	548	294
651	549	293
652	549	292
653	550	291
654	551	290
655	551	289
656	552	288
657	552	287
658	553	286
659	553	285
660	554	284
661	554	283
662	555	282
663	555	281
664	556	280
665	557	279
666	557	278
667	558	277
668	558	276
669	559	275
670	559	274
671	560	273
672	560	272
673	561	271
674	562	270
675	562	269
676	563	268
677	563	267
678	564	266
679	564	265
680	565	264
681	565	263
682	566	262
683	566	261
684	567	260
685	567	259
686	568	258
687	568	257
688	569	256
689	569	255
690	570	254
691	570	254
692	571	253
693	571	252
694	572	251
695	572	250
696	573	249
697	573	248
698	574	247
699	574	246
700	575	245
701	575	244
702	576	243
703	576	242
704	577	241
705	577	240
706	578	239
707	578	238
708	579	237
709	579	236
710	580	235
711	580	234
712	581	234
713	581	233
714	582	232
715	582	231
716	583	230
717	583	229
718	584	228
719	585	227
720	585	226
721	586	225
722	586	224
723	587	223
724	587	222
725	588	222
726	589	221
727	589	220
728	590	219
729	590	218
730	591	217
731	591	216
732	592	215
733	593	214
734	593	214
735	594	213
736	594	212
737	595	211
738	596	210
739	596	209
740	597	208
741	597	207
742	598	206
743	598	205
744	599	205
745	599	204
746	600	203
747	600	202
748	601	201
749	602	200
750	602	199
751	603	198
752	603	198
753	604	197
754	605	196
755	605	195
756	606	194
757	606	193
758	607	192
759	608	192
760	608	191
761	609	190
762	609	189
763	610	188
764	611	187
765	611	186
766	612	185
767	612	185
768	613	184
769	613	183
770	614	182
771	614	181
772	615	180
773	615	179
774	616	178
775	616	178
776	617	177
777	617	176
778	618	175
779	618	174
780	619	173
781	619	172
782	620	171
783	620	171
784	621	170
785	622	169
786	622	168
787	623	167
788	623	166
789	624	165
790	624	165
791	625	164
792	626	163
793	626	162
794	627	161
795	627	160
796	628	160
797	628	159
798	629	158
799	629	157
800	630	156
801	630	155
802	631	154
803	632	154
804	632	153
805	633	152
806	633	151
807	634	150
808	634	149
809	635	149
810	635	148
811	636	147
812	637	146
813	637	145
814	638	144
815	638	143
816	639	143
817	639	142
818	640	141
819	640	140
820	641	139
821	642	139
822	642	138
823	643	137
824	643	136
825	644	135
826	644	134
827	645	134
828	645	133
829	646	132
830	646	131
831	647	130
832	648	129
833	648	129
834	649	128
835	649	127
836	650	126
837	650	125
838	651	125
839	652	124
840	652	123
841	653	122
842	653	121
843	654	120
844	654	120
845	655	119
846	655	118
847	656	117
848	656	116
849	657	116
850	657	115
851	658	114
852	659	113
853	659	112
854	660	111
855	660	111
856	661	110
857	661	109
858	662	108
859	662	107
860	663	107
861	664	106
862	664	105
863	665	104
864	665	103
865	666	103
866	666	102
867	667	101
868	667	100
869	668	99
870	668	99
871	669	98
872	669	97
873	670	96
874	670	95
875	671	95
876	672	94
877	672	93
878	673	92
879	673	91
880	674	91
881	674	90
882	675	89
883	675	88
884	676	87
885	676	87
886	677	86
887	678	85
888	678	84
889	679	83
890	679	83
891	680	82
892	680	81
893	681	80
894	681	79
895	682	79
896	682	78
897	683	77
898	683	76
899	684	76
900	684	75
901	685	74
902	686	73
903	686	72
904	687	72
905	687	71
906	688	70
907	688	69
908	689	68
909	689	68
910	690	67
911	690	66
912	690	65
913	691	65
914	692	64
915	692	63
916	693	62
917	693	61
918	694	61
919	694	60
920	695	59
921	695	58
922	696	58
923	696	57
924	697	56
925	698	55
926	698	55
927	699	54
928	699	53
929	700	52
930	700	51
931	701	51
932	701	50
933	702	49
934	703	48
935	703	48
936	704	47
937	704	46
938	705	45
939	705	45
940	706	44
941	706	43
942	707	42
943	707	41
944	708	41
945	709	40
946	709	39
947	710	38
948	710	38
949	711	37
950	711	36
951	712	35
952	712	35
953	713	34
954	713	33
955	714	32
956	714	32
957	715	31
958	715	30
959	716	29
960	716	29
961	717	28
962	717	27
963	718	26
964	718	26
965	719	25
966	719	24
967	720	23
968	721	23
969	721	22
970	722	21
971	722	20
972	723	20
973	723	19
974	724	18
975	724	17
976	725	17
977	725	16
978	726	15
979	726	14
980	727	14
981	727	13
982	728	12
983	728	11
984	729	11
985	729	10
986	730	9
987	730	8
988	731	8
989	731	7
990	732	6
991	732	5
992	733	5
993	733	4
994	734	3
995	734	2
996	735	2
997	735	1
998	736	0
999	736	0
